Term_ID,Coefficient,Domain
0,0.0,Undefined
1,6.6743e-11,Newtonian
2,8987550000.0,Undefined
3,1.34521e-15,Relativistic
4,4.89201e-22,Undefined
5,2.10394e-18,Undefined
6,1.05457e-28,Undefined
7,0.0,Undefined
8,0.0,Undefined
9,0.0,Undefined
10,0.0,Undefined
11,0.0,Undefined
12,0.0,Undefined
13,0.0,Undefined
14,0.0,Undefined
15,0.0,Undefined
16,0.0,Undefined
17,0.0,Undefined
18,0.0,Undefined
19,0.0,Undefined
20,0.0,Undefined
21,0.0,Undefined
22,0.0,Undefined
23,0.0,Undefined
24,0.0,Undefined
25,0.0,Undefined
26,0.0,Undefined
27,0.0,Undefined
28,0.0,Undefined
29,0.0,Undefined
30,0.0,Undefined
31,0.0,Undefined
32,0.0,Undefined
33,0.0,Undefined
34,0.0,Undefined
35,0.0,Undefined
36,0.0,Undefined
37,0.0,Undefined
38,0.0,Undefined
39,0.0,Undefined
40,0.0,Undefined
41,0.0,Undefined
42,0.0,Undefined
43,0.0,Undefined
44,0.0,Undefined
45,0.0,Undefined
46,0.0,Undefined
47,0.0,Undefined
48,0.0,Undefined
49,0.0,Undefined
50,0.0,Undefined
51,0.0,Undefined
52,0.0,Undefined
53,0.0,Undefined
54,0.0,Undefined
55,0.0,Undefined
56,0.0,Undefined
57,0.0,Undefined
58,0.0,Undefined
59,0.0,Undefined
60,0.0,Undefined
61,0.0,Undefined
62,0.0,Undefined
63,0.0,Undefined
64,0.0,Undefined
65,0.0,Undefined
66,0.0,Undefined
67,0.0,Undefined
68,0.0,Undefined
69,0.0,Undefined
70,0.0,Undefined
71,0.0,Undefined
72,0.0,Undefined
73,0.0,Undefined
74,0.0,Undefined
75,0.0,Undefined
76,0.0,Undefined
77,0.0,Undefined
78,0.0,Undefined
79,0.0,Undefined
80,0.0,Undefined
81,0.0,Undefined
82,0.0,Undefined
83,0.0,Undefined
84,0.0,Undefined
85,0.0,Undefined
86,0.0,Undefined
87,0.0,Undefined
88,0.0,Undefined
89,0.0,Undefined
90,0.0,Undefined
91,0.0,Undefined
92,0.0,Undefined
93,0.0,Undefined
94,0.0,Undefined
95,0.0,Undefined
96,0.0,Undefined
97,0.0,Undefined
98,0.0,Undefined
99,0.0,Undefined
100,0.0,Undefined
101,0.0,Undefined
102,0.0,Undefined
103,0.0,Undefined
104,0.0,Undefined
105,0.0,Undefined
106,0.0,Undefined
107,0.0,Undefined
108,0.0,Undefined
109,0.0,Undefined
110,0.0,Undefined
111,0.0,Undefined
112,0.0,Undefined
113,0.0,Undefined
114,0.0,Undefined
115,0.0,Undefined
116,0.0,Undefined
117,0.0,Undefined
118,0.0,Undefined
119,0.0,Undefined
120,0.0,Undefined
121,0.0,Undefined
122,0.0,Undefined
123,0.0,Undefined
124,0.0,Undefined
125,0.0,Undefined
126,0.0,Undefined
127,0.0,Undefined
128,0.0,Undefined
129,0.0,Undefined
130,0.0,Undefined
131,0.0,Undefined
132,0.0,Undefined
133,0.0,Undefined
134,0.0,Undefined
135,0.0,Undefined
136,0.0,Undefined
137,0.0,Undefined
138,0.0,Undefined
139,0.0,Undefined
140,0.0,Undefined
141,0.0,Undefined
142,0.0,Undefined
143,0.0,Undefined
144,0.0,Undefined
145,0.0,Undefined
146,0.0,Undefined
147,0.0,Undefined
148,0.0,Undefined
149,0.0,Undefined
150,0.0,Undefined
151,0.0,Undefined
152,0.0,Undefined
153,0.0,Undefined
154,0.0,Undefined
155,0.0,Undefined
156,0.0,Undefined
157,0.0,Undefined
158,0.0,Undefined
159,0.0,Undefined
160,0.0,Undefined
161,0.0,Undefined
162,0.0,Undefined
163,0.0,Undefined
164,0.0,Undefined
165,0.0,Undefined
166,0.0,Undefined
167,0.0,Undefined
168,0.0,Undefined
169,0.0,Undefined
170,0.0,Undefined
171,0.0,Undefined
172,0.0,Undefined
173,0.0,Undefined
174,0.0,Undefined
175,0.0,Undefined
176,0.0,Undefined
177,0.0,Undefined
178,0.0,Undefined
179,0.0,Undefined
180,0.0,Undefined
181,0.0,Undefined
182,0.0,Undefined
183,0.0,Undefined
184,0.0,Undefined
185,0.0,Undefined
186,0.0,Undefined
187,0.0,Undefined
188,0.0,Undefined
189,0.0,Undefined
190,0.0,Undefined
191,0.0,Undefined
192,0.0,Undefined
193,0.0,Undefined
194,0.0,Undefined
195,0.0,Undefined
196,0.0,Undefined
197,0.0,Undefined
198,0.0,Undefined
199,0.0,Undefined
200,0.0,Undefined
201,0.0,Undefined
202,0.0,Undefined
203,0.0,Undefined
204,0.0,Undefined
205,0.0,Undefined
206,0.0,Undefined
207,0.0,Undefined
208,0.0,Undefined
209,0.0,Undefined
210,0.0,Undefined
211,0.0,Undefined
212,0.0,Undefined
213,0.0,Undefined
214,0.0,Undefined
215,0.0,Undefined
216,0.0,Undefined
217,0.0,Undefined
218,0.0,Undefined
219,0.0,Undefined
220,0.0,Undefined
221,0.0,Undefined
222,0.0,Undefined
223,0.0,Undefined
224,0.0,Undefined
225,0.0,Undefined
226,0.0,Undefined
227,0.0,Undefined
228,0.0,Undefined
229,0.0,Undefined
230,0.0,Undefined
231,0.0,Undefined
232,0.0,Undefined
233,0.0,Undefined
234,0.0,Undefined
235,0.0,Undefined
236,0.0,Undefined
237,0.0,Undefined
238,0.0,Undefined
239,0.0,Undefined
240,0.0,Undefined
241,0.0,Undefined
242,0.0,Undefined
243,0.0,Undefined
244,0.0,Undefined
245,0.0,Undefined
246,0.0,Undefined
247,0.0,Undefined
248,0.0,Undefined
249,0.0,Undefined
250,0.0,Undefined
251,0.0,Undefined
252,0.0,Undefined
253,0.0,Undefined
254,0.0,Undefined
255,0.0,Undefined
256,0.0,Undefined
257,0.0,Undefined
258,0.0,Undefined
259,0.0,Undefined
260,0.0,Undefined
261,0.0,Undefined
262,0.0,Undefined
263,0.0,Undefined
264,0.0,Undefined
265,0.0,Undefined
266,0.0,Undefined
267,0.0,Undefined
268,0.0,Undefined
269,0.0,Undefined
270,0.0,Undefined
271,0.0,Undefined
272,0.0,Undefined
273,0.0,Undefined
274,0.0,Undefined
275,0.0,Undefined
276,0.0,Undefined
277,0.0,Undefined
278,0.0,Undefined
279,0.0,Undefined
280,0.0,Undefined
281,0.0,Undefined
282,0.0,Undefined
283,0.0,Undefined
284,0.0,Undefined
285,0.0,Undefined
286,0.0,Undefined
287,0.0,Undefined
288,0.0,Undefined
289,0.0,Undefined
290,0.0,Undefined
291,0.0,Undefined
292,0.0,Undefined
293,0.0,Undefined
294,0.0,Undefined
295,0.0,Undefined
296,0.0,Undefined
297,0.0,Undefined
298,0.0,Undefined
299,0.0,Undefined
300,0.0,Undefined
301,0.0,Undefined
302,0.0,Undefined
303,0.0,Undefined
304,0.0,Undefined
305,0.0,Undefined
306,0.0,Undefined
307,0.0,Undefined
308,0.0,Undefined
309,0.0,Undefined
310,0.0,Undefined
311,0.0,Undefined
312,0.0,Undefined
313,0.0,Undefined
314,0.0,Undefined
315,0.0,Undefined
316,0.0,Undefined
317,0.0,Undefined
318,0.0,Undefined
319,0.0,Undefined
320,0.0,Undefined
321,0.0,Undefined
322,0.0,Undefined
323,0.0,Undefined
324,0.0,Undefined
325,0.0,Undefined
326,0.0,Undefined
327,0.0,Undefined
328,0.0,Undefined
329,0.0,Undefined
330,0.0,Undefined
331,0.0,Undefined
332,0.0,Undefined
333,0.0,Undefined
334,0.0,Undefined
335,0.0,Undefined
336,0.0,Undefined
337,0.0,Undefined
338,0.0,Undefined
339,0.0,Undefined
340,0.0,Undefined
341,0.0,Undefined
342,0.0,Undefined
343,0.0,Undefined
344,0.0,Undefined
345,0.0,Undefined
346,0.0,Undefined
347,0.0,Undefined
348,0.0,Undefined
349,0.0,Undefined
350,0.0,Undefined
351,0.0,Undefined
352,0.0,Undefined
353,0.0,Undefined
354,0.0,Undefined
355,0.0,Undefined
356,0.0,Undefined
357,0.0,Undefined
358,0.0,Undefined
359,0.0,Undefined
360,0.0,Undefined
361,0.0,Undefined
362,0.0,Undefined
363,0.0,Undefined
364,0.0,Undefined
365,0.0,Undefined
366,0.0,Undefined
367,0.0,Undefined
368,0.0,Undefined
369,0.0,Undefined
370,0.0,Undefined
371,0.0,Undefined
372,0.0,Undefined
373,0.0,Undefined
374,0.0,Undefined
375,0.0,Undefined
376,0.0,Undefined
377,0.0,Undefined
378,0.0,Undefined
379,0.0,Undefined
380,0.0,Undefined
381,0.0,Undefined
382,0.0,Undefined
383,0.0,Undefined
384,0.0,Undefined
385,0.0,Undefined
386,0.0,Undefined
387,0.0,Undefined
388,0.0,Undefined
389,0.0,Undefined
390,0.0,Undefined
391,0.0,Undefined
392,0.0,Undefined
393,0.0,Undefined
394,0.0,Undefined
395,0.0,Undefined
396,0.0,Undefined
397,0.0,Undefined
398,0.0,Undefined
399,0.0,Undefined
400,0.0,Undefined
401,0.0,Undefined
402,0.0,Undefined
403,0.0,Undefined
404,0.0,Undefined
405,0.0,Undefined
406,0.0,Undefined
407,0.0,Undefined
408,0.0,Undefined
409,0.0,Undefined
410,0.0,Undefined
411,0.0,Undefined
412,0.0,Undefined
413,0.0,Undefined
414,0.0,Undefined
415,0.0,Undefined
416,0.0,Undefined
417,0.0,Undefined
418,0.0,Undefined
419,0.0,Undefined
420,0.0,Undefined
421,0.0,Undefined
422,0.0,Undefined
423,0.0,Undefined
424,0.0,Undefined
425,0.0,Undefined
426,0.0,Undefined
427,0.0,Undefined
428,0.0,Undefined
429,0.0,Undefined
430,0.0,Undefined
431,0.0,Undefined
432,0.0,Undefined
433,0.0,Undefined
434,0.0,Undefined
435,0.0,Undefined
436,0.0,Undefined
437,0.0,Undefined
438,0.0,Undefined
439,0.0,Undefined
440,0.0,Undefined
441,0.0,Undefined
442,0.0,Undefined
443,0.0,Undefined
444,0.0,Undefined
445,0.0,Undefined
446,0.0,Undefined
447,0.0,Undefined
448,0.0,Undefined
449,0.0,Undefined
450,0.0,Undefined
451,0.0,Undefined
452,0.0,Undefined
453,0.0,Undefined
454,0.0,Undefined
455,0.0,Undefined
456,0.0,Undefined
457,0.0,Undefined
458,0.0,Undefined
459,0.0,Undefined
460,0.0,Undefined
461,0.0,Undefined
462,0.0,Undefined
463,0.0,Undefined
464,0.0,Undefined
465,0.0,Undefined
466,0.0,Undefined
467,0.0,Undefined
468,0.0,Undefined
469,0.0,Undefined
470,0.0,Undefined
471,0.0,Undefined
472,0.0,Undefined
473,0.0,Undefined
474,0.0,Undefined
475,0.0,Undefined
476,0.0,Undefined
477,0.0,Undefined
478,0.0,Undefined
479,0.0,Undefined
480,0.0,Undefined
481,0.0,Undefined
482,0.0,Undefined
483,0.0,Undefined
484,0.0,Undefined
485,0.0,Undefined
486,0.0,Undefined
487,0.0,Undefined
488,0.0,Undefined
489,0.0,Undefined
490,0.0,Undefined
491,0.0,Undefined
492,0.0,Undefined
493,0.0,Undefined
494,0.0,Undefined
495,0.0,Undefined
496,0.0,Undefined
497,0.0,Undefined
498,0.0,Undefined
499,0.0,Undefined
500,0.0,Undefined
501,0.0,Undefined
502,0.0,Undefined
503,0.0,Undefined
504,0.0,Undefined
505,0.0,Undefined
506,0.0,Undefined
507,0.0,Undefined
508,0.0,Undefined
509,0.0,Undefined
510,0.0,Undefined
511,0.0,Undefined
512,0.0,Undefined
513,0.0,Undefined
514,0.0,Undefined
515,0.0,Undefined
516,0.0,Undefined
517,0.0,Undefined
518,0.0,Undefined
519,0.0,Undefined
520,0.0,Undefined
521,0.0,Undefined
522,0.0,Undefined
523,0.0,Undefined
524,0.0,Undefined
525,0.0,Undefined
526,0.0,Undefined
527,0.0,Undefined
528,0.0,Undefined
529,0.0,Undefined
530,0.0,Undefined
531,0.0,Undefined
532,0.0,Undefined
533,0.0,Undefined
534,0.0,Undefined
535,0.0,Undefined
536,0.0,Undefined
537,0.0,Undefined
538,0.0,Undefined
539,0.0,Undefined
540,0.0,Undefined
541,0.0,Undefined
542,0.0,Undefined
543,0.0,Undefined
544,0.0,Undefined
545,0.0,Undefined
546,0.0,Undefined
547,0.0,Undefined
548,0.0,Undefined
549,0.0,Undefined
550,0.0,Undefined
551,0.0,Undefined
552,0.0,Undefined
553,0.0,Undefined
554,0.0,Undefined
555,0.0,Undefined
556,0.0,Undefined
557,0.0,Undefined
558,0.0,Undefined
559,0.0,Undefined
560,0.0,Undefined
561,0.0,Undefined
562,0.0,Undefined
563,0.0,Undefined
564,0.0,Undefined
565,0.0,Undefined
566,0.0,Undefined
567,0.0,Undefined
568,0.0,Undefined
569,0.0,Undefined
570,0.0,Undefined
571,0.0,Undefined
572,0.0,Undefined
573,0.0,Undefined
574,0.0,Undefined
575,0.0,Undefined
576,0.0,Undefined
577,0.0,Undefined
578,0.0,Undefined
579,0.0,Undefined
580,0.0,Undefined
581,0.0,Undefined
582,0.0,Undefined
583,0.0,Undefined
584,0.0,Undefined
585,0.0,Undefined
586,0.0,Undefined
587,0.0,Undefined
588,0.0,Undefined
589,0.0,Undefined
590,0.0,Undefined
591,0.0,Undefined
592,0.0,Undefined
593,0.0,Undefined
594,0.0,Undefined
595,0.0,Undefined
596,0.0,Undefined
597,0.0,Undefined
598,0.0,Undefined
599,0.0,Undefined
600,0.0,Undefined
601,0.0,Undefined
602,0.0,Undefined
603,0.0,Undefined
604,0.0,Undefined
605,0.0,Undefined
606,0.0,Undefined
607,0.0,Undefined
608,0.0,Undefined
609,0.0,Undefined
610,0.0,Undefined
611,0.0,Undefined
612,0.0,Undefined
613,0.0,Undefined
614,0.0,Undefined
615,0.0,Undefined
616,0.0,Undefined
617,0.0,Undefined
618,0.0,Undefined
619,0.0,Undefined
620,0.0,Undefined
621,0.0,Undefined
622,0.0,Undefined
623,0.0,Undefined
624,0.0,Undefined
625,0.0,Undefined
626,0.0,Undefined
627,0.0,Undefined
628,0.0,Undefined
629,0.0,Undefined
630,0.0,Undefined
631,0.0,Undefined
632,0.0,Undefined
633,0.0,Undefined
634,0.0,Undefined
635,0.0,Undefined
636,0.0,Undefined
637,0.0,Undefined
638,0.0,Undefined
639,0.0,Undefined
640,0.0,Undefined
641,0.0,Undefined
642,0.0,Undefined
643,0.0,Undefined
644,0.0,Undefined
645,0.0,Undefined
646,0.0,Undefined
647,0.0,Undefined
648,0.0,Undefined
649,0.0,Undefined
650,0.0,Undefined
651,0.0,Undefined
652,0.0,Undefined
653,0.0,Undefined
654,0.0,Undefined
655,0.0,Undefined
656,0.0,Undefined
657,0.0,Undefined
658,0.0,Undefined
659,0.0,Undefined
660,0.0,Undefined
661,0.0,Undefined
662,0.0,Undefined
663,0.0,Undefined
664,0.0,Undefined
665,0.0,Undefined
666,0.0,Undefined
667,0.0,Undefined
668,0.0,Undefined
669,0.0,Undefined
670,0.0,Undefined
671,0.0,Undefined
672,0.0,Undefined
673,0.0,Undefined
674,0.0,Undefined
675,0.0,Undefined
676,0.0,Undefined
677,0.0,Undefined
678,0.0,Undefined
679,0.0,Undefined
680,0.0,Undefined
681,0.0,Undefined
682,0.0,Undefined
683,0.0,Undefined
684,0.0,Undefined
685,0.0,Undefined
686,0.0,Undefined
687,0.0,Undefined
688,0.0,Undefined
689,0.0,Undefined
690,0.0,Undefined
691,0.0,Undefined
692,0.0,Undefined
693,0.0,Undefined
694,0.0,Undefined
695,0.0,Undefined
696,0.0,Undefined
697,0.0,Undefined
698,0.0,Undefined
699,0.0,Undefined
700,0.0,Undefined
701,0.0,Undefined
702,0.0,Undefined
703,0.0,Undefined
704,0.0,Undefined
705,0.0,Undefined
706,0.0,Undefined
707,0.0,Undefined
708,0.0,Undefined
709,0.0,Undefined
710,0.0,Undefined
711,0.0,Undefined
712,0.0,Undefined
713,0.0,Undefined
714,0.0,Undefined
715,0.0,Undefined
716,0.0,Undefined
717,0.0,Undefined
718,0.0,Undefined
719,0.0,Undefined
720,0.0,Undefined
721,0.0,Undefined
722,0.0,Undefined
723,0.0,Undefined
724,0.0,Undefined
725,0.0,Undefined
726,0.0,Undefined
727,0.0,Undefined
728,0.0,Undefined
729,0.0,Undefined
730,0.0,Undefined
731,0.0,Undefined
732,0.0,Undefined
733,0.0,Undefined
734,0.0,Undefined
735,0.0,Undefined
736,0.0,Undefined
737,0.0,Undefined
738,0.0,Undefined
739,0.0,Undefined
740,0.0,Undefined
741,0.0,Undefined
742,0.0,Undefined
743,0.0,Undefined
744,0.0,Undefined
745,0.0,Undefined
746,0.0,Undefined
747,0.0,Undefined
748,0.0,Undefined
749,0.0,Undefined
750,0.0,Undefined
751,0.0,Undefined
752,0.0,Undefined
753,0.0,Undefined
754,0.0,Undefined
755,0.0,Undefined
756,0.0,Undefined
757,0.0,Undefined
758,0.0,Undefined
759,0.0,Undefined
760,0.0,Undefined
761,0.0,Undefined
762,0.0,Undefined
763,0.0,Undefined
764,0.0,Undefined
765,0.0,Undefined
766,0.0,Undefined
767,0.0,Undefined
768,0.0,Undefined
769,0.0,Undefined
770,0.0,Undefined
771,0.0,Undefined
772,0.0,Undefined
773,0.0,Undefined
774,0.0,Undefined
775,0.0,Undefined
776,0.0,Undefined
777,0.0,Undefined
778,0.0,Undefined
779,0.0,Undefined
780,0.0,Undefined
781,0.0,Undefined
782,0.0,Undefined
783,0.0,Undefined
784,0.0,Undefined
785,0.0,Undefined
786,0.0,Undefined
787,0.0,Undefined
788,0.0,Undefined
789,0.0,Undefined
790,0.0,Undefined
791,0.0,Undefined
792,0.0,Undefined
793,0.0,Undefined
794,0.0,Undefined
795,0.0,Undefined
796,0.0,Undefined
797,0.0,Undefined
798,0.0,Undefined
799,0.0,Undefined
800,0.0,Undefined
801,0.0,Undefined
802,0.0,Undefined
803,0.0,Undefined
804,0.0,Undefined
805,0.0,Undefined
806,0.0,Undefined
807,0.0,Undefined
808,0.0,Undefined
809,0.0,Undefined
810,0.0,Undefined
811,0.0,Undefined
812,0.0,Undefined
813,0.0,Undefined
814,0.0,Undefined
815,0.0,Undefined
816,0.0,Undefined
817,0.0,Undefined
818,0.0,Undefined
819,0.0,Undefined
820,0.0,Undefined
821,0.0,Undefined
822,0.0,Undefined
823,0.0,Undefined
824,0.0,Undefined
825,0.0,Undefined
826,0.0,Undefined
827,0.0,Undefined
828,0.0,Undefined
829,0.0,Undefined
830,0.0,Undefined
831,0.0,Undefined
832,0.0,Undefined
833,0.0,Undefined
834,0.0,Undefined
835,0.0,Undefined
836,0.0,Undefined
837,0.0,Undefined
838,0.0,Undefined
839,0.0,Undefined
840,0.0,Undefined
841,0.0,Undefined
842,0.0,Undefined
843,0.0,Undefined
844,0.0,Undefined
845,0.0,Undefined
846,0.0,Undefined
847,0.0,Undefined
848,0.0,Undefined
849,0.0,Undefined
850,0.0,Undefined
851,0.0,Undefined
852,0.0,Undefined
853,0.0,Undefined
854,0.0,Undefined
855,0.0,Undefined
856,0.0,Undefined
857,0.0,Undefined
858,0.0,Undefined
859,0.0,Undefined
860,0.0,Undefined
861,0.0,Undefined
862,0.0,Undefined
863,0.0,Undefined
864,0.0,Undefined
865,0.0,Undefined
866,0.0,Undefined
867,0.0,Undefined
868,0.0,Undefined
869,0.0,Undefined
870,0.0,Undefined
871,0.0,Undefined
872,0.0,Undefined
873,0.0,Undefined
874,0.0,Undefined
875,0.0,Undefined
876,0.0,Undefined
877,0.0,Undefined
878,0.0,Undefined
879,0.0,Undefined
880,0.0,Undefined
881,0.0,Undefined
882,0.0,Undefined
883,0.0,Undefined
884,0.0,Undefined
885,0.0,Undefined
886,0.0,Undefined
887,0.0,Undefined
888,0.0,Undefined
889,0.0,Undefined
890,0.0,Undefined
891,0.0,Undefined
892,0.0,Undefined
893,0.0,Undefined
894,0.0,Undefined
895,0.0,Undefined
896,0.0,Undefined
897,0.0,Undefined
898,0.0,Undefined
899,0.0,Undefined
900,0.0,Undefined
901,0.0,Undefined
902,0.0,Undefined
903,0.0,Undefined
904,0.0,Undefined
905,0.0,Undefined
906,0.0,Undefined
907,0.0,Undefined
908,0.0,Undefined
909,0.0,Undefined
910,0.0,Undefined
911,0.0,Undefined
912,0.0,Undefined
913,0.0,Undefined
914,0.0,Undefined
915,0.0,Undefined
916,0.0,Undefined
917,0.0,Undefined
918,0.0,Undefined
919,0.0,Undefined
920,0.0,Undefined
921,0.0,Undefined
922,0.0,Undefined
923,0.0,Undefined
924,0.0,Undefined
925,0.0,Undefined
926,0.0,Undefined
927,0.0,Undefined
928,0.0,Undefined
929,0.0,Undefined
930,0.0,Undefined
931,0.0,Undefined
932,0.0,Undefined
933,0.0,Undefined
934,0.0,Undefined
935,0.0,Undefined
936,0.0,Undefined
937,0.0,Undefined
938,0.0,Undefined
939,0.0,Undefined
940,0.0,Undefined
941,0.0,Undefined
942,0.0,Undefined
943,0.0,Undefined
944,0.0,Undefined
945,0.0,Undefined
946,0.0,Undefined
947,0.0,Undefined
948,0.0,Undefined
949,0.0,Undefined
950,0.0,Undefined
951,0.0,Undefined
952,0.0,Undefined
953,0.0,Undefined
954,0.0,Undefined
955,0.0,Undefined
956,0.0,Undefined
957,0.0,Undefined
958,0.0,Undefined
959,0.0,Undefined
960,0.0,Undefined
961,0.0,Undefined
962,0.0,Undefined
963,0.0,Undefined
964,0.0,Undefined
965,0.0,Undefined
966,0.0,Undefined
967,0.0,Undefined
968,0.0,Undefined
969,0.0,Undefined
970,0.0,Undefined
971,0.0,Undefined
972,0.0,Undefined
973,0.0,Undefined
974,0.0,Undefined
975,0.0,Undefined
976,0.0,Undefined
977,0.0,Undefined
978,0.0,Undefined
979,0.0,Undefined
980,0.0,Undefined
981,0.0,Undefined
982,0.0,Undefined
983,0.0,Undefined
984,0.0,Undefined
985,0.0,Undefined
986,0.0,Undefined
987,0.0,Undefined
988,0.0,Undefined
989,0.0,Undefined
990,0.0,Undefined
991,0.0,Undefined
992,0.0,Undefined
993,0.0,Undefined
994,0.0,Undefined
995,0.0,Undefined
996,0.0,Undefined
997,0.0,Undefined
998,0.0,Undefined
999,0.0,Undefined
1000,0.0,Undefined
1001,0.0,Undefined
1002,0.0,Undefined
1003,0.0,Undefined
1004,0.0,Undefined
1005,0.0,Undefined
1006,0.0,Undefined
1007,0.0,Undefined
1008,0.0,Undefined
1009,0.0,Undefined
1010,0.0,Undefined
1011,0.0,Undefined
1012,0.0,Undefined
1013,0.0,Undefined
1014,0.0,Undefined
1015,0.0,Undefined
1016,0.0,Undefined
1017,0.0,Undefined
1018,0.0,Undefined
1019,0.0,Undefined
1020,0.0,Undefined
1021,0.0,Undefined
1022,0.0,Undefined
1023,0.0,Undefined
1024,0.0,Undefined
1025,0.0,Undefined
1026,0.0,Undefined
1027,0.0,Undefined
1028,0.0,Undefined
1029,0.0,Undefined
1030,0.0,Undefined
1031,0.0,Undefined
1032,0.0,Undefined
1033,0.0,Undefined
1034,0.0,Undefined
1035,0.0,Undefined
1036,0.0,Undefined
1037,0.0,Undefined
1038,0.0,Undefined
1039,0.0,Undefined
1040,0.0,Undefined
1041,0.0,Undefined
1042,0.0,Undefined
1043,0.0,Undefined
1044,0.0,Undefined
1045,0.0,Undefined
1046,0.0,Undefined
1047,0.0,Undefined
1048,0.0,Undefined
1049,0.0,Undefined
1050,0.0,Undefined
1051,0.0,Undefined
1052,0.0,Undefined
1053,0.0,Undefined
1054,0.0,Undefined
1055,0.0,Undefined
1056,0.0,Undefined
1057,0.0,Undefined
1058,0.0,Undefined
1059,0.0,Undefined
1060,0.0,Undefined
1061,0.0,Undefined
1062,0.0,Undefined
1063,0.0,Undefined
1064,0.0,Undefined
1065,0.0,Undefined
1066,0.0,Undefined
1067,0.0,Undefined
1068,0.0,Undefined
1069,0.0,Undefined
1070,0.0,Undefined
1071,0.0,Undefined
1072,0.0,Undefined
1073,0.0,Undefined
1074,0.0,Undefined
1075,0.0,Undefined
1076,0.0,Undefined
1077,0.0,Undefined
1078,0.0,Undefined
1079,0.0,Undefined
1080,0.0,Undefined
1081,0.0,Undefined
1082,0.0,Undefined
1083,0.0,Undefined
1084,0.0,Undefined
1085,0.0,Undefined
1086,0.0,Undefined
1087,0.0,Undefined
1088,0.0,Undefined
1089,0.0,Undefined
1090,0.0,Undefined
1091,0.0,Undefined
1092,0.0,Undefined
1093,0.0,Undefined
1094,0.0,Undefined
1095,0.0,Undefined
1096,0.0,Undefined
1097,0.0,Undefined
1098,0.0,Undefined
1099,0.0,Undefined
1100,0.0,Undefined
1101,0.0,Undefined
1102,0.0,Undefined
1103,0.0,Undefined
1104,0.0,Undefined
1105,0.0,Undefined
1106,0.0,Undefined
1107,0.0,Undefined
1108,0.0,Undefined
1109,0.0,Undefined
1110,0.0,Undefined
1111,0.0,Undefined
